City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Qaanaaq,GL,77.484,-69.3632,-5.75,89,97,5.95,overcast clouds
189,Torrington,US,41.8007,-73.1212,20.12,64,0,5.01,clear sky
190,Bambanglipuro,ID,-7.95,110.2833,79.99,80,100,2.1,overcast clouds
191,Bondoukou,CI,8.0333,-2.8,95.68,13,69,5.44,broken clouds
192,Lavrentiya,RU,65.5833,-171.0,-6.83,79,16,9.42,few clouds
193,Leshukonskoye,RU,64.8989,45.7622,4.42,94,78,6.24,broken clouds
194,Matai,TZ,-8.3,31.5167,70.59,78,94,1.1,light rain
195,Guerrero Negro,MX,27.9769,-114.0611,56.98,82,68,9.37,broken clouds
196,Tutoia,BR,-2.7619,-42.2744,89.58,63,94,13.51,overcast clouds
197,Cadereyta,MX,25.5833,-99.9833,68.38,62,91,1.03,overcast clouds
198,Hurghada,EG,27.2574,33.8129,73.44,49,0,5.75,clear sky
199,Manokwari,ID,-0.8667,134.0833,78.48,82,98,4.83,overcast clouds
200,Molos,GR,38.8167,22.65,57.92,87,100,1.86,overcast clouds
201,Kaeo,NZ,-35.1,173.7833,65.32,95,96,3.49,overcast clouds
202,Ancud,CL,-41.8697,-73.8203,68.23,85,82,5.86,broken clouds
203,Kambove,CD,-10.8764,26.5969,72.82,84,94,4.16,moderate rain
204,Yulara,AU,-25.2406,130.9889,82.24,16,0,6.91,clear sky
205,Chifeng,CN,42.2683,118.9636,18.99,59,17,1.66,few clouds
206,Bundi,IN,25.4417,75.6417,64.11,75,36,3.02,scattered clouds
207,Tiarei,PF,-17.5333,-149.3333,77.02,78,32,6.96,light rain
208,Basco,PH,20.4487,121.9702,73.72,76,89,19.39,overcast clouds
209,Santiago,CL,-33.4569,-70.6483,86.29,45,0,4.61,clear sky
210,Tarija,BO,-21.5355,-64.7296,66.11,77,100,0.0,overcast clouds
211,Datong,CN,40.0936,113.2914,25.88,56,94,1.03,overcast clouds
212,Provideniya,RU,64.3833,-173.3,7.66,68,26,9.84,scattered clouds
213,Ahuimanu,US,21.4447,-157.8378,66.78,88,0,3.44,clear sky
214,Moose Factory,CA,51.2585,-80.6094,-2.2,78,100,9.22,overcast clouds
215,Broome,US,42.2506,-75.833,17.1,79,0,1.01,clear sky
216,Te Anau,NZ,-45.4167,167.7167,57.56,84,100,6.46,light rain
217,Kupang,ID,-10.1667,123.5833,77.58,94,40,4.61,scattered clouds
218,Superior,US,46.7208,-92.1041,20.01,73,100,10.36,overcast clouds
219,Cheyenne,US,41.14,-104.8203,37.54,70,100,13.8,overcast clouds
220,Karratha,AU,-20.7377,116.8463,85.53,66,61,9.4,broken clouds
221,Tautira,PF,-17.7333,-149.15,77.02,79,18,6.71,light rain
222,Bronnoysund,NO,65.4625,12.1997,26.6,63,0,12.66,clear sky
223,Leningradskiy,RU,69.3833,178.4167,-10.43,98,95,9.82,overcast clouds
224,Tessalit,ML,20.1986,1.0114,70.02,12,30,12.97,scattered clouds
225,Le Port,RE,-20.9373,55.2919,82.36,80,23,1.81,light rain
226,Ullapool,GB,57.8987,-5.1604,41.95,84,98,10.11,overcast clouds
227,Atambua,ID,-9.1061,124.8925,75.07,84,93,0.81,overcast clouds
228,Isla Aguada,MX,18.7833,-91.4667,75.24,85,100,15.12,overcast clouds
229,Powassan,CA,46.0334,-79.3496,-0.81,72,100,7.0,overcast clouds
230,Sambava,MG,-14.2667,50.1667,79.48,86,98,7.11,light rain
231,Umm Kaddadah,SD,13.6017,26.6876,87.93,13,87,13.4,overcast clouds
232,Maniitsoq,GL,65.4167,-52.9,14.59,83,100,13.58,light snow
233,Monrovia,LR,6.3005,-10.7969,89.37,64,36,10.38,scattered clouds
234,Kurgan,RU,55.45,65.3333,22.8,97,77,7.02,light snow
235,Asyut,EG,27.181,31.1837,69.98,17,35,7.07,scattered clouds
236,Price,US,39.5994,-110.8107,34.86,75,100,6.91,overcast clouds
237,Fengzhen,CN,40.4394,113.1536,22.82,60,94,1.32,overcast clouds
238,College,US,64.8569,-147.8028,-36.45,60,0,6.91,haze
239,Libreville,GA,0.3925,9.4537,86.02,74,20,10.36,few clouds
240,Oistins,BB,13.0667,-59.5333,84.29,58,40,24.16,scattered clouds
241,Calvinia,ZA,-31.4707,19.776,94.17,20,15,13.44,few clouds
242,Berbera,SO,10.4396,45.0143,77.99,65,22,12.19,few clouds
243,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,24.16,scattered clouds
244,Vao,NC,-22.6667,167.4833,77.83,83,93,21.59,overcast clouds
245,Mahonda,TZ,-6.45,39.4667,89.71,76,51,14.74,broken clouds
246,Pontianak,ID,-0.0333,109.3333,78.78,88,20,2.3,few clouds
247,Lakes Entrance,AU,-37.8811,147.981,64.17,91,64,2.37,broken clouds
248,Jackson,US,42.4165,-122.8345,39.04,89,100,3.44,overcast clouds
249,Wewak,PG,-3.5534,143.6268,78.33,89,100,13.89,light rain
250,Abnub,EG,27.2696,31.1511,70.02,18,34,7.16,scattered clouds
251,Soyo,AO,-6.1349,12.3689,82.54,76,78,10.25,broken clouds
252,Yuanping,CN,38.7153,112.7575,29.07,59,83,1.21,broken clouds
253,Okara,PK,30.8081,73.4458,59.76,49,100,5.26,overcast clouds
254,Almeirim,BR,-1.5233,-52.5817,79.7,79,100,6.49,light rain
255,Kamaishi,JP,39.2667,141.8833,34.5,81,14,9.55,few clouds
256,Hasaki,JP,35.7333,140.8333,28.8,59,15,15.88,few clouds
257,Byron Bay,AU,-28.65,153.6167,75.15,85,97,7.99,overcast clouds
258,Mayna,RU,54.1135,47.6231,1.45,97,9,6.22,clear sky
259,Udachnyy,RU,66.4167,112.4,-38.31,100,51,5.48,broken clouds
260,Kawalu,ID,-7.3817,108.2082,74.79,93,100,0.38,light rain
261,Paamiut,GL,61.994,-49.6678,13.89,90,100,6.6,light snow
262,Sola,VU,-13.8833,167.55,82.11,73,100,16.46,light rain
263,Rosarito,MX,32.3333,-117.0333,54.14,75,100,7.38,overcast clouds
264,Ponta Delgada,PT,37.7333,-25.6667,64.51,63,75,5.75,broken clouds
265,Sept-Iles,CA,50.2001,-66.3821,7.05,56,20,7.0,few clouds
266,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,3.44,moderate rain
267,Kathu,TH,7.9178,98.3332,76.82,79,21,11.9,few clouds
268,Nouadhibou,MR,20.931,-17.0347,71.58,60,52,6.91,broken clouds
269,Totness,SR,5.8833,-56.3167,81.77,61,51,11.1,broken clouds
270,Rabo De Peixe,PT,37.8,-25.5833,63.28,99,75,5.75,broken clouds
271,Salalah,OM,17.0151,54.0924,75.29,53,0,6.91,clear sky
272,Sur,OM,22.5667,59.5289,69.73,46,0,10.0,clear sky
273,Grand Baie,MU,-20.0182,57.5802,80.46,80,100,3.0,overcast clouds
274,Ichinohe,JP,40.2069,141.3017,29.5,83,42,9.84,snow
275,Ossora,RU,59.2353,163.0719,22.53,95,100,17.9,snow
276,Kharan,PK,28.5833,65.4167,50.47,54,0,2.37,clear sky
277,Kyabe,TD,9.4515,18.9449,99.01,14,23,4.14,few clouds
278,Tamale,GH,9.4008,-0.8393,97.09,12,26,6.78,scattered clouds
279,Deniliquin,AU,-35.5333,144.9667,65.21,67,0,8.79,clear sky
280,Garcia Hernandez,PH,9.6144,124.2946,77.59,86,5,7.02,clear sky
281,Peleduy,RU,59.6289,112.7406,-23.78,100,84,2.39,broken clouds
282,Gariaband,IN,20.635,82.0614,72.95,58,0,3.74,clear sky
283,Lamu,KE,-2.2717,40.902,84.42,77,83,14.97,broken clouds
284,Lukiv,UA,51.0521,25.4006,30.18,64,99,7.23,overcast clouds
285,Muyezerskiy,RU,63.9333,31.65,-6.86,100,38,3.62,scattered clouds
286,Mwene-Ditu,CD,-7.0,23.45,80.46,73,100,0.6,overcast clouds
287,Bengkulu,ID,-3.8004,102.2655,78.51,87,100,2.73,overcast clouds
288,Okoneshnikovo,RU,54.8377,75.0834,30.69,96,100,21.74,light snow
289,Tarancon,ES,40.0085,-3.0073,44.06,54,94,10.22,overcast clouds
290,Bereda,ES,43.2686,-7.5406,53.01,98,100,9.64,overcast clouds
291,Wahlstedt,DE,53.95,10.2167,39.97,88,100,11.12,overcast clouds
292,Tezu,IN,27.9167,96.1667,61.88,51,1,4.25,clear sky
293,Port Hedland,AU,-20.3167,118.5667,84.25,54,38,14.97,scattered clouds
294,Port Shepstone,ZA,-30.7414,30.455,76.01,84,89,12.59,light rain
295,Havelock,US,34.8791,-76.9013,35.92,59,0,8.01,clear sky
296,Ostrovnoy,RU,68.0531,39.5131,12.58,80,99,24.76,overcast clouds
297,Isangel,VU,-19.55,169.2667,79.75,88,45,14.14,scattered clouds
298,Jalu,LY,29.0331,21.5482,59.27,39,1,15.84,clear sky
299,Beloha,MG,-25.1667,45.05,79.92,69,59,20.94,broken clouds
300,Grajau,BR,-5.8194,-46.1386,83.28,76,99,3.09,overcast clouds
301,Jaunpur,IN,25.7333,82.6833,62.62,93,36,6.11,scattered clouds
302,Dubbo,AU,-32.25,148.6167,71.73,88,75,5.75,light rain
303,Buta,CD,2.7858,24.73,87.33,38,77,3.06,broken clouds
304,Cururupu,BR,-1.8283,-44.8683,87.17,59,94,6.62,overcast clouds
305,Inhambane,MZ,-23.865,35.3833,84.18,58,40,11.5,scattered clouds
306,Vardo,NO,70.3705,31.1107,23.2,78,100,22.37,light snow
307,Port Lincoln,AU,-34.7333,135.8667,61.25,86,3,12.5,clear sky
308,Abu Dhabi,AE,24.4667,54.3667,69.91,51,0,6.91,clear sky
309,Harper,LR,4.375,-7.7169,84.24,66,93,6.04,light rain
310,La Ronge,CA,55.1001,-105.2842,-9.15,77,100,6.91,overcast clouds
311,Flinders,AU,-34.5833,150.8552,72.18,85,100,3.0,overcast clouds
312,Jiexiu,CN,37.0244,111.9125,32.45,61,87,3.62,overcast clouds
313,Severo-Yeniseyskiy,RU,60.3725,93.0408,-2.24,92,99,6.78,overcast clouds
314,Jinchang,CN,38.4953,102.1739,26.51,47,67,1.88,broken clouds
315,Stykkisholmur,IS,65.0757,-22.7297,33.73,78,100,11.99,overcast clouds
316,Koslan,RU,63.4564,48.8989,2.61,96,100,7.4,overcast clouds
317,Capelinha,BR,-17.6914,-42.5158,70.5,88,100,5.61,overcast clouds
318,Adre,TD,13.4667,22.2,91.89,15,63,5.79,broken clouds
319,Sassandra,CI,4.95,-6.0833,83.34,67,97,7.54,overcast clouds
320,Sabang,ID,5.8933,95.3214,82.08,77,19,17.87,few clouds
321,Morogoro,TZ,-6.8167,37.6667,83.44,58,100,9.93,overcast clouds
322,Chapais,CA,49.7834,-74.8492,-24.02,93,74,4.79,broken clouds
323,Xining,CN,36.6167,101.7667,28.2,57,0,1.39,clear sky
324,Gushikawa,JP,26.3544,127.8686,65.43,88,20,5.75,few clouds
325,Saint-Augustin,CA,51.226,-58.6502,14.2,78,100,28.32,overcast clouds
326,Ketchikan,US,55.3422,-131.6461,28.38,93,100,5.75,light snow
327,Westport,US,41.1415,-73.3579,25.03,55,0,4.0,clear sky
328,Victoria,HK,22.2855,114.1577,64.38,82,22,1.99,few clouds
329,Asau,RO,46.4333,26.4,36.75,90,79,3.29,broken clouds
330,Kayerkan,RU,69.3497,87.7602,6.53,77,100,22.5,overcast clouds
331,Quelimane,MZ,-17.8786,36.8883,82.35,83,75,8.05,broken clouds
332,Impfondo,CG,1.6381,18.0667,97.14,27,68,3.31,broken clouds
